,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Connection Size,Diameter,Range,Hazardous,Approvals,Equal / Unequal,End Connection A size,End Connection C size,Material,Operating Temperature Range (C),Size,Connection Type 1,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Connection Type 2,Feature 7,Feature 8,Feature 9,Connection Type,End Connection B size,Feature 10,Feature 11,Feature 12,Feature 13,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Feature 14,Colour,Weight,Standards,Attachment 8,Attachment 9,Attachment 10,Attachment 11
196,PP45742,"Philmac 3G elbow  Pol x MI 25mm x 3/4""",Philmac,9.05,"This Philmac 3G elbow with 25mm/3/4"" x 3/4"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G elbow  Pol x MI 25mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/43/NW-P45742_P45743_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,PP45949,"Philmac 3G metric/imperial tee 63mm x 2""",Philmac,67.9,"This Philmac 3G tee with 63mm/2"" POL x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G metric/imperial tee 63mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/49/NW-P45948_P45949_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,PM32305,Geberit FlowFit 620.033.00.1 Reducer 32mm x 20mm,Geberit,10.3,"Part of a comprehensive system, this Geberit FlowFit 32 x 20mm reducer is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building system","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.033.00.1 Reducer 32mm x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32305_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21933,Unequal,32 mm,,PPSU Polyphenylsulfone,,32mm x 20mm,,620.033.00.1,Reducer,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,20 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
199,PP96046,"TP RV0.MAL upvc socket 2""",TP,6.57,"This TP 2 x 2"" double socket is made of PVC-U with solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.MAL upvc socket 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P96041_P96050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,PM32291,Geberit FlowFit 620.012.00.1 Coupling 25mm,Geberit,7.22,"Part of a comprehensive system, this Geberit FlowFit 25mm coupling is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems, i","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.012.00.1 Coupling 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32291_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21958,Equal,25 mm,,PPSU Polyphenylsulfone,,25 mm,,620.012.00.1,Coupling,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,25 mm,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
201,PP10054,Durapipe SuperFLO ABS socket 40mm,Durapipe,10.81,"Offering easy installation and good resistance to high temperatures, this Durapipe SuperFLO 40mm plain socket with plain ends is made of robust ABS.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Durapipe SuperFLO ABS socket 40mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/56/NW-P10051_P10056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,PP96694,"TP RB0.RCL abs reducing bush 1.1/2 x 1""",TP,9.11,"This TP RB0.RCL 1 1/2 x 1"" reducing bush is made of high impact, highly elastic ABS. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.RCL abs reducing bush 1.1/2 x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/98/NW-P96690_P96698_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,PP96743,"TP RB0.MAR abs socket adaptor (bsp) 1""",TP,17.55,"This TP RB0.MAR 1 x 1"" socket adapter is made of high impact, highly elastic ABS and includes a stainless steel A2 reinforcing ring and plain/BSP threaded connection. Pressure ratings for thermoplastic pipe and fittings carrying water are quoted at 20°C and where the temperature increases, the working pressure must be reduced. ABS is resistant to most diluted inorganic acids, bases and salts and most animal oils and fats.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RB0.MAR abs socket adaptor (bsp) 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/67/46/NW-P96741_P96746_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/P57811_P57903_Georg Fischer_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,PP46050,Plasson meter boundry box complete and plastic lid,Plasson,156.36,"This Plasson 325 x 325 x 860mm meter box with 3514 plastic lid, 3511 stop valve, meter mount kit and 650mm cut-to-size tube guard, is made of tough polypropylene.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Plasson meter boundry box complete and plastic lid",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/50/NW-P46050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Plasson_3514_Meter_Box_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,PP06374,Plasson 3407 stopcock 25mm,Plasson,53.6,"Promising a watertight seal, this Plasson 3407 25mm compression stop tap ensures water is completely turned off in case of a leak in the system. Designed for use in systems conveying water and other fluids in urban and inter-urban infrastructure, industrial, mining, landscape, and farming applications, this fitting is made of a high quality polyethylene (PP) and has been designed with in-line connections in mind. Robustly built, this tap has been designed and tested to withstand pressure systems of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Plasson 3407 stopcock 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/75/NW-P06373_P06375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_3407DD0_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,PM32289,Geberit FlowFit 620.010.00.1 Coupling 16mm,Geberit,4.17,"Part of a comprehensive system, this Geberit FlowFit 16mm coupling is made of polyphenylsulfone (PPSU) and fitted with press-fit connections. Developed with the input of the plumbers who will use it, the innovative FlowFit system ensures always-right installation, for a simpler job on-site with no need for deburring and calibration when cutting to length and the ability to laterally press and rotate for convenient and reliable pressing in difficult spots with no risk of contortion. This system is compatible with both cold and hot potable water, cooling and heating water with or without antifreeze agent and with service water and process water. It can also be used in treated water, rainwater with a pH value of <gt/>6, seawater and extinguishing water (wet, wet/dry or dry). It is also suitable for chemicals and technical liquids, compressed air (oil purity class 0–3), inert gases such as nitrogen and in negative pressure. FlowFit is suitable for a variety of applications, including technical building systems, i","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Geberit FlowFit 620.010.00.1 Coupling 16mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/M32289_Primary_Image_wm.jpg,,,,,,FlowFit,N,UK Reg4 approved for drinking waterEnvironmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025 / ISO 21957,Equal,16 mm,,PPSU Polyphenylsulfone,,16 mm,,620.010.00.1,Coupling,N,No need for deburring and calibration,Window in fitting allows for insertion depth to be checked,Fitting can be laterally pressed,Fully rotatable for reliable pressing without contortion,All diameters installed with two different pressing jaws,No need for constant tool changes,,,No gaps in product range,Pressing indicator detaches to indicate that pipes are securely connected,Easy detection of unpressed fittings,Press Fit,16mmØ,No need for heavy pressing collars,Ideal for working overhead,UK Reg4 approved for drinking water,Environmental Product Declaration in accordance with EN 15804 + A2 + AC & ISO 14025/ISO 21930,,,,,,,,,,,,
207,PP10053,Durapipe SuperFLO ABS socket 32mm,Durapipe,6.17,"Made of ABS, this Durapipe SuperFLO 32mm plain socket is supplied with a plain end connection.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Durapipe SuperFLO ABS socket 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/56/NW-P10051_P10056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Durapipe_Superfloabs_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,PP45610,"Philmac 3G end connector Pol  x  MI 63mm - 2"" x 2""",Philmac,32.15,"This Philmac 3G connector with 63mm/2"" x 2"" POL x MI BSP end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G end connector Pol  x  MI 63mm - 2"" x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/10/NW-P45607_P45610_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,PP45557,"Philmac 3G metric/imperial joiner 63mm x 2""",Philmac,46.14,"This Philmac 3G joiner with 63mm/2"" POL x POL end connections is made of high performance polypropylene (PP) for good impact resistance and resistance to UV, chemicals and corrosion. Non-toxic and taint-free, this Philmac compression fitting is suitable for a wide range of plumbing, commercial, agricultural, industrial and residential applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Philmac 3G metric/imperial joiner 63mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/57/NW-P45552_P45557_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,PP96221,"TP RV0.AFR adaptor FI/BSP BS/BSP 1/2 x 1/2""",TP,3.01,"This TP 1/2 x 1/2"" threaded adapter is made of PVC-U and includes plain/threaded connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.AFR adaptor FI/BSP BS/BSP 1/2 x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/26/NW-P96221_P96226_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,PP96241,"TP RV0.AMR UPVC adaptor female/male/male (bsp) 2 x 2""",TP,12.32,"This TP 2 x 2"" threaded adapter is made of PVC-U and includes BSP connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.AMR UPVC adaptor female/male/male (bsp) 2 x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/41/NW-P96241_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,PP96092,"TP RV0.BOL upvc union with O ring 3/4""",TP,9.99,"This TP 3/4 x 3/4"" union with O-ring is made of PVC-U and includes solvent cement connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.BOL upvc union with O ring 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/99/NW-P96091_P96099_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,PP96212,"TP RV0.MAR plain/threaded socket PVC-U Inch BS 3/4""",TP,5.25,"This TP 3/4 x 3/4"" plain/threaded socket is made of PVC-U with plain/threaded female connections. Designed for water piping systems, this fitting is suitable for use in distribution, treatment or sewage water, public or private swimming pools, thermal pools and spas, in aquariums and aquaculture and in irrigation and fountains.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> TP RV0.MAR plain/threaded socket PVC-U Inch BS 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/16/NW-P96211_P96216_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/TP_Fittings_Valves_Catalogue_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,PP22603,Georg Fischer Instaflex 6200 electrofusion coupler 25mm,Georg Fischer,12.4,"This Georg Fischer INSTAFLEX 25 x 25mm electrofusion coupler is made of polybutene. Ideal for household applications, it is also suitable for use in partial decontamination, cooling systems, rainwater, hot/cold water and in compressed air pipe applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Georg Fischer Instaflex 6200 electrofusion coupler 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/03/NW-P22603_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/pd/GF_Polybutylene_Copper_EPD.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_INSTAFLEX_Nomogramm_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_INSTAFLEX_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GF_INSTAFLEX_Efusion_D16_110_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/GF_Marine_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_INSTAFLEX_Polybutene_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_PROGEF_Brochure.pdf,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GF_INSTAFLEX_iFIT_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/GF_INSTAFLEX_Efusion_D125_225_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/GF_PB_System_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/GF_Electro_Fusion_Coupler_Technical.pdf
215,PP06375,Plasson 3407 stopcock 32mm,Plasson,83.01,"Promising a watertight seal, this Plasson 3407 32mm compression stop tap ensures water is completely turned off in case of a leak in the system. Designed for use in systems conveying water and other fluids in urban and inter-urban infrastructure, industrial, mining, landscape, and farming applications, this fitting is made of a high quality polyethylene (PP) and has been designed with in-line connections in mind. Robustly built, this tap has been designed and tested to withstand pressure systems of up to 16 bar.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Plasson 3407 stopcock 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/75/NW-P06373_P06375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_3407EE0_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,PP06176,Plasson 7020 male adaptor BSP thread 63 x 2,Plasson,36.42,"Made of polypropylene (PP), this Plasson 7020 adapter includes 63mm metric x 2"" MI BSP connections. Plasson mechanical fittings are designed to connect PE pipes, used for conveying water and other fluids in urban and inter-urban infrastructure, industrial, mining, landscape and farming and optical fibre duct systems, withstanding working pressures of up to 16 bar. The fittings also incorporate valves to regulate flow.","Pipe, Valves and Fittings/Plastic Pipe Fittings/Pressure Pipe Fittings/Pressure Pipe Fittings.csv -> Plasson 7020 male adaptor BSP thread 63 x 2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/76/NW-P06172_P06176_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_7020H60_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Plasson_7020_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Plasson_Technical_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
