,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Pack Quantity,Hazardous,Material,Size,Total Pack Quantity,Washer Type,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Range,Feature 4,Material Type,Nut Types,Type,Feature 5,Screw / Bolt Type,Set Type,Screw / Bolt Length,Screw / Bolt Sizes,Drive,Attachment 2,Hole Depth,Operating Temperature,Size (oz),Washer-Exterior Dia,Washer-Internal Dia,Outer Diameter,Bolt Type,Weight,Feature 6,Feature 7,Feature 8
97,PM91705,"M Greenaway And Son bright zinc plated u-bolt 3/4"" (m6)",M Greenaway And Son,0.69,"These M Greenaway And Son M6, 20mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 3/4"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0716_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
98,PM91704,"M Greenaway And Son bright zinc plated u-bolt 1/2"" (m6)",M Greenaway And Son,0.63,"These M Greenaway And Son M6, 15mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 1/2"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0416_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
99,PM91708,"M Greenaway And Son bright zinc plated u-bolt 1.1/2"" (m10)",M Greenaway And Son,1.57,"These M Greenaway And Son M10, 40mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 1.1/2"" (m10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1316_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
100,PN57128,"Owlett Jaton mudguard washer zinc plated 1/4 x 1.1/4 """,Owlett Jaton,0.19,"These Owlett Jaton 30 x 1.5mm, M6 inside diameter mudguard or penny washers are made of steel with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton mudguard washer zinc plated 1/4 x 1.1/4 """,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/28/NW-N57128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PT83611,JET Range zinc plated penny washer 25mm (m10) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 25mm (m10) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.10M25WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
102,PT83605,JET Range zinc plated penny washer 25mm (m6) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 25mm (m6) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/06/NW-T83605_T83606_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.6M25WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
103,P257463,"Center top hat washer 3/4"" (2)",Center,1.37,"Useful space seals, these Center 3/4"" top hat washers provide a pliable surface next to the sink on which to sit a plastic nut.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center top hat washer 3/4"" (2)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/63/257463_wm.jpg,,2,N,Plastic,3/4,2,N/A,PPSCCS374428,N,Pack of 2,High quality HD polyethylene construction,,,,,,,,,,,,,,,,,,,,,,,,
104,PT87123,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m10) (100 per bag),JET Range,1.53,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 40mm (m10) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/23/NW-T87123_wm.jpg,,100 per bag,N,Steel,M10 x 40 mm,,,HTBMET01000040Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,40,M10,Hexagon,,,,,,,,,,,,
105,PM92102,M Greenaway And Son square plate washer 5mm (m8),M Greenaway And Son,1.74,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 9mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son square plate washer 5mm (m8)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/02/NW-M92102_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0842_6_Technical.pdf,,,,,,,,,,,
106,PT83606,JET Range zinc plated penny washer 30mm (m6) (250),JET Range,0.25,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 30mm (m6) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/38/580738_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.6M30WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
107,P257476,Center oval diaphragm washers 130 mm (5),Center,2.26,"Designed for sealing the water housing on a toilet siphon, these Center 130mm oval diaphragm washers can be used on any lever-operated siphon, helping to ensure good levels of water efficiency.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center oval diaphragm washers 130 mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/76/257476_wm.jpg,,5,N,EPDM,130 mm,5,N/A,PPSTAP374517,N,Pack of 5,EPDM construction,Clear colour,,Oval shaped,,,,,,,,,,,,,,,,,,,,,
108,PT87155,JET Range XOX nut and bolt grade 8.8 M16 x 65mm BZP (25 per bag),JET Range,5.63,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX nut and bolt grade 8.8 M16 x 65mm BZP (25 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/65/NW-T87150_T87165_wm.jpg,,25 per bag,N,Steel,M16 x 65mm,,,HTXOXM01600065Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,65,M16,Hexagon,,,,,,,,,,,,
109,PT83612,JET Range zinc plated penny washer 30mm (m10) (250),JET Range,0.21,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 30mm (m10) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/14/NW-T83611_T83614_wm.jpg,,250,N,Steel,30mm,,Penny Washer,.10M30WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
110,PT83608,JET Range zinc plated penny washer 25mm (m8) (500),JET Range,0.16,Jet penny washer is made of steel material with bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated penny washer 25mm (m8) (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/09/NW-T83608_T83609_wm.jpg,,500,N,Steel,25 mm,,Penny Washer,.8M25WMGOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Penny,,,,,,,,,,,,,,,,,,
111,P257493,Center mixed poly syphon washers (10),Center,3.57,"Containing a variety of sizes for convenience on every job, this pack of Center poly siphon washers seal the water housing on a toilet siphon. Suitable for use with lever-operated siphons, seals of this type help to ensure flushing efficiency.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center mixed poly syphon washers (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/93/257493_wm.jpg,,10,N,EPDM,Various / Mixed,10,N/A,PPSTAP374518,N,Pack of 10,Mixed sizes,EPDM construction,,Clear colour,,,,Round shape,,,,,,,,,,,,,,,,,
112,PT83589,JET Range zinc plated b-washer (m16) (250),JET Range,0.4,Jet flat washer is of made of steel material with bright zinc plate coating. Plain edge form B manufactured to DIN125.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range zinc plated b-washer (m16) (250)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/90/NW-T83584_T83590_wm.jpg,,250,N,Steel,M16,,Flat Washer,.16MWFBOZ,N,Reliable,Easy to replace,,,,BZP Steel,,Form B,,,,,,,,,,,,,,,,,,
113,PT87121,JET Range XOX bright zinc plated nut and bolt (grade 8.8) 30mm (m10) (100 per bag),JET Range,1.25,Jet XOX nut and bolt is made of steel material with bright zinc plated finish.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range XOX bright zinc plated nut and bolt (grade 8.8) 30mm (m10) (100 per bag)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/21/NW-T87121_wm.jpg,,100 per bag,N,Steel,M10 x 30 mm,,,HTBMET01000030Z,N,Reliable,Easy to replace,Made of grade 8.8 steel,XOX,Bright zinc plated,BZP Steel,Hex Nut,Assortment Sets,,Hex Head Bolt,Nut and Bolt,30,M10,Hexagon,,,,,,,,,,,,
114,PM97927,JET Range Stud Bolt stud bolt BZP M10 60mm (500),JET Range,0.49,"Manufactured in 4.8 grade BZP-coated mild steel, this JET Range M10 x 60mm stud bolt offers fast, consistent and high quality installation. Pre-cut to the most commonly used sizes, these stud bolts save on time and waste and ensure unbeatable accuracy.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> JET Range Stud Bolt stud bolt BZP M10 60mm (500)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/32/NW-M97924_M97932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_M97924-32_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,P257469,"Center 1/2"" washer 5pk (for armitage)",Center,2.1,"An ideal replacement for Armitage or Pegler tap washers, these Center 1/2"" tap washers are supplied in a useful pack of five.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Center 1/2"" washer 5pk (for armitage)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/69/257469_wm.jpg,,,N,Rubber,12,5,N/A,PPSTAP374523,N,Pack of 5,Thermoplastic rubber/evoprene construction,Compatible with Pegler tap range,,,,,,,,,,,,,,,,,,,,,,,
116,P402282,Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1),Thomas Dudley,0.61,An easy to install Thomas Dudley diaphragm washer for a Turbo 88 siphon.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley Dudley diaphragm washer to suit turbo 88 syphon (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/82/NW-402282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Thomas_Dudley_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PIS5306,Owlett Jaton hexagon nut m10 Bright Zinc Plated (Pack of 10),Owlett Jaton,8.55,"Made of steel with a BZP finish, these Owlett Jaton M10 size hexagon full nuts are used with a bolt fixing to fasten objects together. The full nut should be applied to a matching male thread on a bolt, set screw or machine screw and tightened.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton hexagon nut m10 Bright Zinc Plated (Pack of 10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/07/NW-IS5306_IS5307_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Owlett_Jaton_Product_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,P630322,Pump House FIXINGS socket bolt M8-M10 (Pack of 100),Pump House,117.03,"This Pump House box of socket bolts contains 100 bolts in M8, M9 and M10 sizes.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Pump House FIXINGS socket bolt M8-M10 (Pack of 100)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/22/NW-630322_wm.jpg,,Pack of 100,N,,M8M9M10,100,,X-SBL-810-B100,N,Pack of 100,,,Fixings,,,,Socket Bolts,,,,,,,,,,,,,,Socket Bolt,,,,
119,P800588,Regin O ring kit imperial 382 pieces (382),Regin,24.9,This Regin O-ring kit contains a wide range of high quality nitrile (NBR 70) O-rings in 30 different imperial BS 1806 sizes.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin O ring kit imperial 382 pieces (382)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/88/NW-800588_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PM96006,Walraven Rapid Rail tee bolt 25mm (M10),Walraven,0.97,A Walraven Rapid Rail 25mm M10 tee bolt.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Walraven Rapid Rail tee bolt 25mm (M10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/06/M96006_wm.jpg,,,N,,M10 L: 25mm,25pcs,,6523002,N,Pack of 25,"Slide nut with stud bolt, washer and BIS RapidRail spring",Pre-assembled for quick fixing,Rapid Rail,Assembly stays in place before final tightening,,,Tee Bolt,Metal parts made of 1.0332 steel,,,,,,,,,,,,,"Stud bolt with slide nut, washer and RapidRail® spring",7.47309,POM (polyoxymethylene) springs,Green colour,Zinc-plated
121,P515553,Wavin Wavin Hep2O HX57/15 GR conical tap connector washers 15mm,Wavin,4.67,"Made of rubber, this Wavin Hep2O HX57 15mm conical tap connector can be used in cold flexible plumbing systems accepting push-fit connections.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Wavin Wavin Hep2O HX57/15 GR conical tap connector washers 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/53/NW-515553_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Wavin_Hep2O_Pushfit_Plumbing_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Wavin_Hep2O_Push-Fit_Plumbing_Guide.pdf,,,,,,,,,,,
122,PC58912,Thomas Dudley Dudley O ring repair kit box,Thomas Dudley,13.36,Plumbers O-ring repair kit box.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley Dudley O ring repair kit box",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/12/C58912_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,P459027,Regin Nuts spire 'u' nut no.8 (5),Regin,2.48,A pack of five Regin No. 8 size spire U nuts.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Regin Nuts spire 'u' nut no.8 (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/27/NW-459027_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PM91706,"M Greenaway And Son bright zinc plated u-bolt 1"" (m6)",M Greenaway And Son,0.73,"These M Greenaway And Son M6, 25mm length U-bolts are made of mild steel material with a bright zinc plate coating.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son bright zinc plated u-bolt 1"" (m6)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/14/NW-M91704_M91714_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ0916_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Steel_Range_2015.pdf,,,,,,,,,,,
125,PM92106,M Greenaway And Son square plate washer 5mm (m12),M Greenaway And Son,1.74,These M Greenaway And Son 41 x 41 x 5mm square plate washer with 14mm inside diameter is made of mild steel with a bright zinc plate coating.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> M Greenaway And Son square plate washer 5mm (m12)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/06/NW-M92106_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Greenaway_Channel_2015.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Greenaway_SZ1242_6_Technical.pdf,,,,,,,,,,,
126,PC59142,Thomas Dudley siamp diaphragm washer,Thomas Dudley,7.15,"Made of rubber, this Thomas Dudley 29mm diaphram washer is suitable for use on Siamp inlet valves.","Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Thomas Dudley siamp diaphragm washer",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/42/C59142_wm.jpg,,,N,Rubber and plastic,29 mm,1,Diaphragm Washer,PPSWAT368525,N,"For fast, easy replacement",Rubber and plastic construction,,,,,,,,,,,,,,,,,,,,,,,,
127,PN57125,Owlett Jaton square plate washer m10,Owlett Jaton,1.04,These Owlett Jaton 50 x 50 x 3mm square plate washers with M10 inside diameter are made of steel with a bright zinc plate coating. They should be used with carriage bolts and nuts.,"Trade Essentials/Fixings and Fasteners/Nuts, Bolts and Washers/Nuts, Bolts and Washers.csv -> Owlett Jaton square plate washer m10",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/25/NW-N57125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Owlett_Jaton_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
