,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Rated Speed,Enclosure Class,Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 4,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Weight,Attachment 5,Attachment 6,Feature 20,Feature 21,Feature 22
19,P164036,Wilo Yonos Maxo-D glandless circulating pump PN6/10,Wilo,3897.95,"Plug & play wiring with the Wilo connection plug – no tools needed!;LED display for easy commissioning.;Fault light and collective fault signal to ensure system availability.;Self-venting and deblocking function with integrated full motor protection to prevent failure.;Thermal insulation shell for increasing energy efficiency, saving you money.;Pre-selectable control modes for optimum load adjustment.;Energy efficiency index (EEI) of less than 0.23;Fluid temperature -20°C to +110°C;Max operating pressure: 10 bar;Port-to-port length: 340mm;Pipe connection: Flange DN 65;Max head: 12m",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo-D glandless circulating pump PN6/10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/36/164036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
20,P146677,Wilo Stratos Maxo-Z STRATOS MAXO-Z 30/0.5-12 PN6/10 circulating pump PN6/10,Wilo,2532.53,"Suitable for cold water, heating water or for water/glycol mixtures, the Wilo Stratos MAXO-Z 30/0.5-12 high-efficiency inline glandless pump has an EC motor and electronic power adjustment. Boasting an energy efficiency index (EEI) of  0.17 to  0.19, depending on pump type, this PN6/10 pump automatically and permanently adjusts to meet system requirements without set point specification. The MAXO's Wilo Dynamic Adapt Plus factory setting provides energy savings of up to 20% compared to dp-v control mode.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos Maxo-Z STRATOS MAXO-Z 30/0.5-12 PN6/10 circulating pump PN6/10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/77/NW-146677_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_Stratos_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_Stratos_D_Z_Installation.pdf,,,,,,,,,,,,,,,,,,,
21,P104799,Grundfos TPED circulating pump 3 x 400V 50Hz,Grundfos,7183.82,"A single-stage close-coupled volute pump, the Grundfos TPE2 40-270 circulating pump offers inline suction and discharge ports of identical diameter. Helping to make maintenance and servicing simpler, the pump has a top-pull-out design, allowing the power head to be removed while the pump housing remains in the pipework. Allowing for continuously variable control, the pump motor includes a frequency converter and PI controller inside the motor terminal box.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos TPED circulating pump 3 x 400V 50Hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/99/104799_wm.jpg,,,,Black / Red,12.5 m³/h,TPED,380 - 500,n/a,N/A,N,15 kW,800,360-4000 rpm,IP55,50,16 bar,N/A,99238980,Inline Pump,N,Optimised hydraulics for high efficiency,Reduced power consumption,Top-pull-out design,Allows for straight pipework,Impeller is hydraulically and mechanically balanced for longer life motor bearings and shaft seal,Electrocoated pump housing and pump head/motor stool maintain efficiency for longer,,Power heads fitted with unbalanced rubber bellows seal,"Power heads fitted with fan-cooled, permanent-magnet synchronous motors of identical size",Shaft seal according to EN 12756,Pipework connection is via PN 6/10 DIN flanges (EN 1092-2 and ISO 7005-2),IE5 motor efficiency in accordance with IEC 60034-30-2,IP55 rated,,,,,,,,,,,,,
22,P141708,Wilo Stratos Maxo D R7 50/0.5-12 PN6/10 commercial heating pump,Wilo,5097.4,"The Wilo Stratos Maxo is an easy to use smart pump with one touch commisioning, EC motor, electronic power adjustment and permanent, automatic performance adaptation for optimum energy efficiency. The R7 version does not include an internal temperature sensor.  This smart-pump has a range of functions for reliable use including heating and cooling quantity measurement, dry running detection and automatic No-Flow Stop, which deactivates the pump when no flow is detected.  This is an inline glandless pump, suitable to be used in domestic or light commercial buildings for all central heating, cooling, underfloor heating, water/glycol mixtures and air conditioning systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos Maxo D R7 50/0.5-12 PN6/10 commercial heating pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/08/141708_wm.jpg,,,,Grey,34.0 m³/h,Stratos Maxo D,230,3 Years,1,N,0.56 kW,383,,IPX4D,50,10 bar,"EN 61800-3;2004+A1;2012 /residential area (C1), EN 61800-3;2004+A1;2012 /industrial environment (C2)",2217981,Circulating Pump,N,Compatible with the Wilo-Assistant app for commissioning protocol via Bluetooth,Automatic pump venting function and full motor protection to prevent failure,"Thermal insulation shell for increasing energy efficiency, saving you money",Ability to save and restore configured pump settings,Plug & play wiring with the Wilo connection plug – no tools needed!,Easy to use design featuring a large LCD display for easy commissioning.,,Automatic setback operation & deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.17,Fluid temperature -10°C to +90°C,Max operating pressure: 10 bar,Port-to-port length: 280mm,Pipe connection: Flange DN 50,Max head: 12m,,,,,,,,,,,
23,P164035,Wilo Yonos Maxo-D glandless circulating pump PN6,Wilo,4354.08,"The Wilo Yonos Maxo-D is a twin head compact pump for commercial buildings with HVAC applications, with an EC motor and electronic power adjustment for optimum energy efficiency.  Easy to set up with three operating modes and simple adjustment over three speed stages when replacing an uncontrolled standard pump. Additional option to expand the pumps intelligent functions further with the Wilo Connect Module.   Each pump operates individually with one main pump and one pump on standby, meaning if any faults are detected you can switch the pumps over to prevent failure.  This inline glandless pump is suitable for use in domestic or commercial buildings for all central heating, underfloor heating, air-conditioning systems, closed cooling circuits, industrial circulation systems.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo-D glandless circulating pump PN6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/36/NW-164035_164036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
24,P126274,"Grundfos MAGNA 1 D circulating pump 340mm 1"" x 230V PN6/10",Grundfos,6421.9,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 65 - 100 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA 1 D circulating pump 340mm 1"" x 230V PN6/10",,MAGNA1 pump;Gaskets;Quick guide;Safety instructions;2x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/74/NW-126272_126274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
25,P163995,Wilo Yonos Maxo glandless pump PN6/10,Wilo,1959.9,"Highly efficient, the Wilo Yonos Maxo 65/0.5-12 circulator pump is an electronically controlled, glandless circulator with a synchronous motor, built according to ECM technology, and integrated power control for continuous differential pressure control. It is suitable for all heating, ventilation and air conditioning applications.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo glandless pump PN6/10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/95/NW-163995_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
26,P149307,Grundfos UPS hotwater system circulating pump no fittings 1 phase,Grundfos,917.67,"Featuring a corrosion-free stainless steel pump housing, this Grundfos UPS 32-55 N 180 circulator pump is ideal for domestic hot water recirculation and underfloor heating systems. Suitable for connection to an on/off time switch to limit pump operation to periods when hot water is usually needed, this canned rotor pump houses its pump and motor in a single integral unit with no shaft seal and just two gaskets for sealing, keeping maintenance costs to an absolute minimum.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos UPS hotwater system circulating pump no fittings 1 phase,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/10/NW-149305_149310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Wide_Range_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_UP_UPS_UPSD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P141410,Grundfos MAGNA3 25-120 180 1X230V,Grundfos,981.0,"Ideal for creating high performance heating and cooling systems, the Grundfos MAGNA3 25 - 120 single phase circulator pump is suitable for new installations and refits, offering excellent efficiency and built-in communication capabilities. With a canned rotor, this pump is a maintenance-free integral unit with no shaft seal and just two gaskets for sealing, while bearings are lubricated by the pumped liquid. Wirelessly connecting with the Grundfos GO Remote app, for advanced reporting and monitoring, MAGNA3 is suitable for mixing loops, heating and air conditioning surfaces, ground source heat pumps and small chillers and includes fieldbus communication via CIM modules as well analogue and digital inputs and configurable relays. Features include FLOWADAPT, reducing the requirement for throttling valves, and a built-in differential pressure and temperature sensor.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA3 25-120 180 1X230V,,MAGNA3 pump;Insulating shells;Gaskets;Quick guide;Safety instructions;1x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/14/NW-141406_141414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_MAGNA3_Model_D_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA3_instructions.pdf,,,,,,,,,,,,,,,,,,,
28,P163957,Wilo Yonos-Maxo-D PN6/10  twin head pump,Wilo,2555.63,"A twin-head compact pump, the Wilo Yonos Maxo-D is designed for use in commercial or domestic central heating, underfloor heating, air conditioning, closed cooling or industrial circulation applications. Optimising energy efficiency through its EC motor and electronic power adjustment, the Maxo-D PN6/10's pumps operate independently, with one on standby ready for switchover should a fault develop. Easy to set-up, this inline glandless pump has three operating modes and three adjustable speed stages when used as a replacement for an uncontrolled standard pump. Using the Wilo Connect module, this pump's intelligent functions can be further expanded.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos-Maxo-D PN6/10  twin head pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/57/163957_wm.jpg,,,,Black/Green,,Yonos Maxo-D,,,,N,0.49 kW,,,,,,CE;EAC;VDE,2120667,Commercial Circulating Pump,N,Plug-and-play wiring via Wilo connection plug,No tools needed for installation,LED display for easy commissioning,Fault light and collective fault signal ensures system availability,Self-venting and deblocking function with integrated full motor protection,Thermal insulation shell increases efficienc,,Pre-selectable control modes for optimum load adjustment,Energy efficiency index (EEI) of less than 0.23,Fluid temperature -20°C to +110°C,Maximum operating pressure of 10 bar,Port-to-port length of 280mm,Flange DN 50 pipe connection,Maximum head of 9M,IP4XD rated,3 year warranty,,,,,29320.00000,,,,,
29,PS08881,Dab Pumps Evoplus D 120/250.40 M,Dab Pumps,2262.0,"Suitable for use in residential or commercial premises, the Dab Pumps EVOPLUS 0.465kW, 220 - 240V electronic circulator with twin flange can be used in heating, ventilation and air conditioning systems. In a correctly sized installation, the EVOPLUS's electronically controlled wet rotor pumps ensure constant power while minimising noise and reducing running costs. A user-friendly interface makes operation simple.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Dab Pumps Evoplus D 120/250.40 M,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/81/NW-S08881_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Dab_Pumps_General_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P126258,"Grundfos Magna 1 D 50-150 F 280 circulating pump 280mm 1"" x 230V PN6/10",Grundfos,6521.9,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 50 - 150 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos Magna 1 D 50-150 F 280 circulating pump 280mm 1"" x 230V PN6/10",,MAGNA1 pump;Gaskets;Quick guide;Safety instructions;2x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/59/NW-126256_126259_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
31,P126273,"Grundfos MAGNA 1 D circulating pump 340mm 1"" x 230V PN6/10",Grundfos,6091.4,"A simple solution for basic system control and monitoring, the Grundfos MAGNA1 D 65 - 100 F circulator pump is ideal for replacing older circulators. Complying with EuP 2015 regulations, MAGNA1 offers high efficiency in main pump, mixing loops and heating surfaces as well as air conditioning surfaces, ground source heat pump systems and small chiller applications. It is suitable for use in commercial air conditioning, heating and hot water recirculation, district cooling and heating, domestic hot water recirculation, heating and cooling and industrial heating.","Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Grundfos MAGNA 1 D circulating pump 340mm 1"" x 230V PN6/10",,MAGNA1 pump;Gaskets;Quick guide;Safety instructions;2x ALPHA plug,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/74/NW-126272_126274_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_MAGNA1_Model_C_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAGNA1_Model_C_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAGNA1_Model_C_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA1_Model_C_Brochure.pdf,,,,,,,,,,,,,,,,,,,
32,P109955,Wilo Yonos Maxo-D glandless circulation pump,Wilo,4217.31,"Plug & play wiring with the Wilo connection plug – no tools needed!;LED display for easy commissioning;Fault light and collective fault signal to ensure system availability;Self-venting and deblocking function with integrated full motor protection to prevent failure;Thermal insulation shell for increasing energy efficiency, saving you money;Pre-selectable control modes for optimum load adjustment;Energy efficiency index (EEI) of less than 0.23;Fluid temperature -20°C to +110°C;Max operating pressure: 10 bar;Port-to-port length: 340mm;Pipe connection: Flange DN 65;Max head: 16m",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo-D glandless circulation pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/55/109955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
33,P141668,Wilo Stratos MAXO 30/05-12 R7,Wilo,1618.54,"Suitable for domestic or light commercial use, the Wilo Stratos Maxo 30/05-12 R7 is compatible with central heating, cooling, underfloor heating and air conditioning systems and can be used with water/glycol mixtures. An inline glandless smart pump with one touch commissioning, Maxo incorporates an EC motor and electronic power adjustment as well as efficiency enhancing permeant automatic performance adaptation. A range of clever features, including heating and cooling quantity measurement and dry running detection are included. Automatic no-flow stop, meanwhile, deactivates the pump in the absence of flow, reducing the risk of dry-running damage.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Stratos MAXO 30/05-12 R7,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/69/NW-146567_146569_wm.jpg,,,,Black/Green,,Stratos,,,,N,0.295 kW,,,,,,CE;EAC;VDE,2217901,,N,Compatible with Wilo-Assistant app for commissioning via Bluetooth,Automatic pump venting function and full motor protection prevents failure,Thermal insulation shell for efficiency,Ability to save and restore configured pump settings,Plug-and-play wiring with Wilo connection plug,No tools required for installation,,Large LCD display for easy commissioning,Automatic setback operation and deblocking function,Adjustable volume flow limiter,Energy efficiency index (EEI) of less than 0.19,Fluid temperature -10°C to +90°C,Maximum operating pressure of 10 bar,Port-to-port length 180mm,Threaded G 2 pipe connection,Maximum head 12M,IPX4D rated,3 year warranty,,,,,,,,
34,P145035,Wilo SB30 hot water pump,Wilo,483.6,"A bronze secondary circulation pump with a blocking current-proof motor and manual three-stage speed control allowing you to tailor its performance to your specific needs.  The Wilo SB30’s non overloading motor and unique hollow shaft with sintered bronze filter ensures long, trouble-free operation. With optional plug-in timer for legionellae protection.  This return hot water pump can be used for domestic hot water circulation systems, suitable only for drinking water.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo SB30 hot water pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/35/145035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wilo_SB_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P163950,Wilo Yonos Maxo-D 50/0.5-12 PN6/10  twin head pump,Wilo,3047.01,"Highly efficient, the Wilo Yonos MAXO-D 50/0.5-12 circulator pump is an electronically controlled, glandless twin head pump with a synchronous motor, built according to ECM technology, and integrated power control for continuous differential pressure control. Suitable for use in all heating, ventilation and air conditioning applications, each pump can be operated individually (main/standby operation) and with a corresponding switchgear, automatic fault-actuated switchover can be achieved.",Heating/Central Heating Pumps/Hot Water Pump/Hot Water Pump.csv -> Wilo Yonos Maxo-D 50/0.5-12 PN6/10  twin head pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/50/NW-163950_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_REACH_Regulation_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Z_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wilo_Stratos_Yonos_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wilo_Yonos_MAXO_D_Installation.pdf,,,,,,,,,,,,,,,,,,,
